User,Name,Featured In - Page,Featured In - Link,Quality Image,Featured Image,Valued Image
Tagooty,Muttukadu Boat House Tamilnadu Aug21 D72 20693-94,Kanchipuram,https://de.wikivoyage.org/wiki/Kanchipuram,,,True
Tagooty,Muttukadu Boat House Tamilnadu Aug21 D72 20693-94,Muttukadu boat house,https://en.wikipedia.org/wiki/Muttukadu_boat_house,,,True
Tagooty,Muttukadu Boat House Tamilnadu Aug21 D72 20693-94,Q6944128,https://www.wikidata.org/wiki/Q6944128,,,True
Tagooty,Muttukadu Boats Siruseri Tamilnadu Aug21 D72 20662,Muttukadu boat house,https://en.wikipedia.org/wiki/Muttukadu_boat_house,True,,True
Tagooty,Muttukadu Boats Siruseri Tamilnadu Aug21 D72 20662,Q108057762,https://www.wikidata.org/wiki/Q108057762,True,,True
Tagooty,South IITMandi Kahra Neri Griffon Himachal Jan20 D72 13786,"Kahra village, Mandi","https://en.wikipedia.org/wiki/Kahra_village,_Mandi",,,
Tagooty,Altar Left Santuario Rivotorto Assisi Sep19 R16 01922,Rivotorto,https://en.wikipedia.org/wiki/Rivotorto,,,
Tagooty,Kahra Peepul Pt IITMandi Himachal Mar19 D72 10021,"Kahra village, Mandi","https://en.wikipedia.org/wiki/Kahra_village,_Mandi",True,,True
Tagooty,Kahra Peepul Pt IITMandi Himachal Mar19 D72 10021,Q107638797,https://www.wikidata.org/wiki/Q107638797,True,,True
Tagooty,Uthandi Beach 2ndMain Benches Cloudy NorthEast Chennai May21 A7C 00766,Sholinganallur,https://en.wikipedia.org/wiki/Sholinganallur,True,,
Tagooty,Uthandi Beach 2ndMain Benches Cloudy NorthEast Chennai May21 A7C 00766,Q106837269,https://www.wikidata.org/wiki/Q106837269,True,,
Tagooty,Right Bank Pin Mudh Spiti Himachal Jun18 D72 7114,"Mud village, Spiti","https://en.wikipedia.org/wiki/Mud_village,_Spiti",True,,
Tagooty,Cola Beach Bay South Goa Jan19 DSC06186,Agonda,https://en.wikipedia.org/wiki/Agonda,,,True
